需求ID,功能模块,一级功能,二级功能,需求描述,业务规则/验收要点,优先级,阶段,备注
F316,,,刷新,刷新用户列表,重新加载,P0,一期必做,
F317,,,编辑,编辑用户信息,打开编辑用户抽屉,P0,一期必做,
F318,,,启用/停用,启用或停用用户,管理员不可停用；二次确认,P0,一期必做,
F319,,,重置密码,重置用户密码,二次确认后执行,P1,一期优化,
F320,,新增用户,姓名,输入用户姓名,必填字段,P0,一期必做,
F321,,,登录账号,输入登录账号,必填字段；唯一性校验,P0,一期必做,
F322,,,手机号,输入手机号,选填字段,P1,一期优化,
F323,,,邮箱,输入邮箱,选填字段,P1,一期优化,
F324,,,角色,选择用户角色,必填；下拉选择,P0,一期必做,
F325,,,所属站点,选择所属站点,必填；下拉选择,P0,一期必做,
F326,,,状态,选择初始状态,启用/停用；下拉选择,P0,一期必做,
F327,,,绑定钉钉账号,选择钉钉用户,下拉选择,P2,二期优化,
F328,,,保存用户,保存新建用户,保存后toast提示；刷新列表,P0,一期必做,
F329,角色权限,角色列表,角色展示,展示所有系统角色,左侧列表；显示角色名+数据范围,P0,一期必做,
F330,,,角色选择,支持选择角色查看/编辑权限,点击角色切换权限矩阵,P0,一期必做,
F331,,权限矩阵,菜单权限配置,支持配置各角色的菜单访问权限,7项菜单权限：工作台/沟通/线索/客户/分析/站点/系统,P0,一期必做,
F332,,,按钮权限配置,支持配置各角色的按钮操作权限,6项按钮：新增/编辑/导出/分配/转交/配置,P0,一期必做,
F333,,,数据权限配置,支持配置数据可见范围,4级：仅本人/本团队/本区域/全部,P0,一期必做,
F334,,,保存权限,保存当前角色的权限配置,保存后提示；实时生效,P0,一期必做,
F335,,内置角色,内置角色保护,超级管理员不可停用/删除,系统预设角色受保护,P0,一期必做,
F336,系统日志,登录日志,时间范围筛选,支持按时间范围筛选登录日志,日期选择器,P1,一期优化,
F337,,,账号搜索,支持按登录账号搜索,文本输入,P1,一期优化,
F338,,,结果类型筛选,支持按登录结果筛选,下拉选择,P1,一期优化,
F339,,,登录日志表格,展示登录时间/账号/姓名/IP/方式/结果/浏览器/OS,完整日志表格,P0,一期必做,
F340,,,登录日志导出,支持导出登录日志,导出当前筛选结果,P1,一期优化,
F341,,操作日志,时间范围筛选,支持按时间范围筛选操作日志,日期选择器,P1,一期优化,
F342,,,操作人搜索,支持按操作人搜索,文本输入,P1,一期优化,
F343,,,结果类型筛选,支持按操作结果筛选,下拉选择,P1,一期优化,
F344,,,操作日志表格,展示操作时间/人/类型/对象/内容/IP,完整日志表格,P0,一期必做,
F345,,,操作日志导出,支持导出操作日志,导出当前筛选结果,P1,一期优化,
F346,,日志详情,日志详情查看,支持查看单条日志详情,行操作按钮；弹窗展示,P1,一期优化,
F347,AI能力管理,AI能力列表,AI服务商,AI服务商,文本展示,P0,一期必做,
F348,,,AI模型,AI模型,文本展示,P0,一期必做,
F349,,,API端点,PI Endpoint地址,文本展示,P0,一期必做,
F350,,,AI能力状态,状态,文本展示,P0,一期必做,
F351,,新增AI能力,AI服务商配置,选择AI服务商,保存后toast提示,P0,一期必做,
F352,,,AI模型配置,选择AI模型,下拉选择,P0,一期必做,
F353,,,API端点配置,配置API Endpoint地址,下拉选择,P0,一期必做,
F354,,,AI启用开关,是否启用AI增强功能,文本输入,P0,一期必做,
F355,,,保存AI配置,保存AI能力配置,开关选择,P0,一期必做,
F356,,操作维护,新增AI能力,支持新增AI服务商,保存后toast提示,P0,一期必做,
F357,,,刷新,刷新列表,重新加载,P0,一期必做,
F358,,,编辑,编辑AI信息,打开编辑站点抽屉,P0,一期必做,
F359,,,启用/停用,启用或停用,二次确认后执行,P0,一期必做,
F360,,业务关联设置,业务名称,需AI能力支持的业务名称,文本展示,P2,二期优化,
F361,,,启用状态,业务AI能力启用状态,文本展示,P2,二期优化,
F362,,,关联的AI能力,关联的AI服务商,文本展示,P2,二期优化,
F363,,业务关联AI能力,为每个业务功能选择具体使用哪个AI配置。,,关联后，立即生效，无需重启服务,P2,二期优化,
F364,系统参数,消息提醒,提醒规则表格,展示消息提醒规则,分配提醒/待跟进提醒/签约提醒,P0,一期必做,
F365,,,编辑提醒规则,支持编辑提醒规则,行内编辑,P1,一期优化,
F366,,系统参数,参数表格,展示系统级参数,超时时长/密码最短长度/复杂度要求,P2,二期优化,
F367,,,编辑系统参数,支持编辑系统参数,行内编辑,P2,二期优化,
F368,个人中心,我的资料,用户信息展示,展示姓名/手机号/角色,表单只读展示,P0,一期必做,
F369,,,用户信息编辑,支持编辑用户资料,编辑后保存更新,P1,一期优化,
F370,,,保存资料,保存个人资料修改,保存后toast提示,P1,一期优化,
F371,,账号绑定,邮箱绑定,展示已绑定邮箱和时间,只读展示绑定信息,P0,一期必做,
F372,,,新增邮箱绑定,支持新增邮箱绑定,新增绑定操作,P0,一期必做,
F373,,,删除邮箱绑定,支持解绑邮箱,二次确认；danger按钮,P2,二期优化,
F374,,,WhatsApp绑定,展示已绑定WhatsApp号码,只读展示,P0,一期必做,
F375,,,解绑WhatsApp,支持解绑WhatsApp,二次确认；danger按钮,P2,二期优化,
F376,,修改密码,新密码输入,输入新密码,密码至少8位；含字母和数字,P2,二期优化,
F377,,,确认新密码,再次输入确认新密码,两次密码一致方可提交,P2,二期优化,
F378,,,确认修改,点击完成密码修改,修改成功后退出登录；跳转登录页,P2,二期优化,
F379,,登录安全,当前设备信息,展示当前登录设备信息,浏览器/操作系统/IP/登录方式,P2,二期优化,
F380,,,退出当前登录,安全退出当前账号,danger按钮；确认后退出至登录页,P0,一期必做,
F381,消息管理,消息模板,列表查询,支持关键词检索与状态筛选。,支持按模板名称，渠道和状态下拉筛选。,P0,一期必做,
F382,,,模板列表,管理所有已创建的消息模板，,1. 表格列展示：模板编码、模板名称、触发事件类型（如线索分配/系统通知）、渠道（支持多标签）、状态（启用/停用）、更新时间。,P0,一期必做,
F383,,推送管理,列表查询,支持关键词检索与状态筛选。,支持规则名称，关联模板，渠道和状态下拉筛选,P0,一期必做,
F384,,,推送列表,管理所有创建的推送列表,将自定义模板、渠道、推送方式的消息推送策略。,P0,一期必做,
F385,,新增推送,规则名称,规则名称,文本输入,P0,一期必做,
F386,,,关联模板,关联的消息模板,下拉选择,P0,一期必做,
F387,,,推送渠道,支持钉钉与站内信,下拉选择,P0,一期必做,
F388,,,推送对象,支持推送对象,下拉选择,P0,一期必做,
F389,,,推送文本,推送的内容,文本输入,P0,一期必做,
F390,,,启用/停用规则,控制推送规则是否生效。,停用后，该规则将不再接收触发事件，也不再消耗推送配额。,P0,一期必做,
F391,全局导航,侧边栏,导航菜单,展示一级和二级导航菜单,7个一级菜单+子菜单；当前菜单高亮,P0,一期必做,
F392,,,菜单展开/折叠,支持展开/收起二级菜单,点击切换展开状态；状态本地持久化,P0,一期必做,
F393,,顶部栏,全局搜索,支持全局快速搜索,搜索邮件/消息；placeholder文案,P0,一期必做,
F394,,,站点切换,支持切换权限类站点,dropdown选择；切换后刷新数据,P0,一期必做,
F395,,,通知中心,支持查看系统通知,通知列表弹窗；分类型展示,P0,一期必做,
F396,,,用户菜单,支持访问个人中心和退出,含我的资料/账号绑定/修改密码/退出登录,P0,一期必做,
F397,,多页签,Chrome标签页,支持多页面标签式切换,标签页导航；工作台固定不可关闭,P0,一期必做,
F398,,,关闭标签,支持关闭当前/其他/全部标签页,关闭按钮+操作按钮,P2,二期优化,
F399,,,标签固定,工作台标签固定不可关闭,保留至少一个标签页,P2,二期优化,
F400,,面包屑,当前位置导航,展示当前页面位置路径,面包屑导航提示当前位置,P0,一期必做,
F401,,权限控制,权限校验,无权限页面展示无权限提示页,访问无权限页面显示独立状态页,P0,一期必做,
F402,,,按钮权限,无操作权限的按钮隐藏,根据权限配置控制按钮显示,P0,一期必做,
F403,,加载状态,骨架屏加载,数据加载期间显示骨架屏,异步数据加载时的占位展示,P1,一期优化,
F404,,错误处理,系统异常页面,500错误展示系统异常页,含返回工作台按钮,P0,一期必做,
F405,,,网络异常页面,网络连接失败展示网络异常页,含重新加载按钮,P0,一期必做,
F406,,,404页面,无效路径展示页面不存在,含返回工作台按钮,P0,一期必做,
F407,状态页,无权限,无权限页,无权限访问时展示无权限提示,独立状态页；红色图标+提示文案,P0,一期必做,
F408,,系统加载中,系统初始化加载,应用初始化时展示加载动画,加载完成后自动跳转,P0,一期必做,
