功能模块,一级功能,二级功能,需求描述,业务规则/验收要点,优先级,阶段
站点配置,公海规则Tab,保存公海规则,保存回收规则配置,保存后toast提示,P0,一期必做
站点配置,AI规则Tab,启用AI识别,配置是否启用AI识别,开关/选择,P1,一期优化
站点配置,AI规则Tab,保存AI配置,保存AI规则配置,保存后toast提示,P1,一期优化
站点配置,系统规则Tab,关键词规则管理,管理关键词规则,表格展示规则名称/关键词/匹配逻辑/优先级/状态,P2,二期
站点配置,系统规则Tab,新增关键词规则,支持新增关键词规则,表单输入规则信息,P2,二期
用户管理,列表查询,关键词搜索,支持搜索用户关键词,模糊搜索姓名/账号/手机号,P0,一期必做
用户管理,列表查询,状态筛选,支持按状态筛选用户,下拉选择：全部/启用/停用,P1,一期优化
用户管理,用户表格,姓名列,展示用户姓名,主标识列；固定左侧,P0,一期必做
用户管理,用户表格,登录账号列,展示登录账号,文本展示,P0,一期必做
用户管理,用户表格,手机号列,展示手机号,文本展示,P1,一期优化
用户管理,用户表格,邮箱列,展示邮箱,文本展示,P1,一期优化
用户管理,用户表格,角色列,展示用户角色,显示角色名称,P0,一期必做
用户管理,用户表格,站点列,展示所属站点,关联站点名称,P0,一期必做
用户管理,用户表格,状态列,展示用户状态标签,启用/停用颜色区分,P0,一期必做
用户管理,工具栏,新增用户,支持新增用户,打开新增用户抽屉；需管理员权限,P0,一期必做
用户管理,工具栏,角色权限配置,跳转角色权限配置页,点击跳转角色权限页面,P0,一期必做
用户管理,工具栏,刷新,刷新用户列表,重新加载,P0,一期必做
用户管理,行操作,编辑,编辑用户信息,打开编辑用户抽屉,P0,一期必做
用户管理,行操作,启用/停用,启用或停用用户,管理员不可停用；二次确认,P0,一期必做
用户管理,行操作,重置密码,重置用户密码,二次确认后执行,P1,一期优化
用户管理,新增用户抽屉,姓名,输入用户姓名,必填字段,P0,一期必做
用户管理,新增用户抽屉,登录账号,输入登录账号,必填字段；唯一性校验,P0,一期必做
用户管理,新增用户抽屉,手机号,输入手机号,选填字段,P1,一期优化
用户管理,新增用户抽屉,邮箱,输入邮箱,选填字段,P1,一期优化
用户管理,新增用户抽屉,角色,选择用户角色,必填；下拉选择,P0,一期必做
用户管理,新增用户抽屉,所属站点,选择所属站点,必填；下拉选择,P0,一期必做
用户管理,新增用户抽屉,状态,选择初始状态,启用/停用；下拉选择,P0,一期必做
用户管理,新增用户抽屉,保存用户,保存新建用户,保存后toast提示；刷新列表,P0,一期必做
角色权限,角色列表,角色展示,展示所有系统角色,左侧列表；显示角色名+数据范围,P0,一期必做
角色权限,角色列表,角色选择,支持选择角色查看/编辑权限,点击角色切换权限矩阵,P0,一期必做
角色权限,权限矩阵,菜单权限配置,支持配置各角色的菜单访问权限,7项菜单权限：工作台/沟通/线索/客户/分析/站点/系统,P0,一期必做
角色权限,权限矩阵,按钮权限配置,支持配置各角色的按钮操作权限,6项按钮：新增/编辑/导出/分配/转交/配置,P0,一期必做
角色权限,权限矩阵,数据权限配置,支持配置数据可见范围,4级：仅本人/本团队/本区域/全部,P0,一期必做
角色权限,权限矩阵,保存权限,保存当前角色的权限配置,保存后提示；实时生效,P0,一期必做
角色权限,内置角色,内置角色保护,超级管理员不可停用/删除,系统预设角色受保护,P0,一期必做
系统日志,登录日志Tab,时间范围筛选,支持按时间范围筛选登录日志,日期选择器,P1,一期优化
系统日志,登录日志Tab,账号搜索,支持按登录账号搜索,文本输入,P1,一期优化
系统日志,登录日志Tab,结果类型筛选,支持按登录结果筛选,下拉选择,P1,一期优化
系统日志,登录日志Tab,登录日志表格,展示登录时间/账号/姓名/IP/方式/结果/浏览器/OS,完整日志表格,P0,一期必做
系统日志,登录日志Tab,登录日志导出,支持导出登录日志,导出当前筛选结果,P1,一期优化
系统日志,操作日志Tab,时间范围筛选,支持按时间范围筛选操作日志,日期选择器,P1,一期优化
系统日志,操作日志Tab,操作人搜索,支持按操作人搜索,文本输入,P1,一期优化
系统日志,操作日志Tab,结果类型筛选,支持按操作结果筛选,下拉选择,P1,一期优化
系统日志,操作日志Tab,操作日志表格,展示操作时间/人/类型/对象/内容/IP,完整日志表格,P0,一期必做
系统日志,操作日志Tab,操作日志导出,支持导出操作日志,导出当前筛选结果,P1,一期优化
系统日志,日志详情,日志详情查看,支持查看单条日志详情,行操作按钮；弹窗展示,P1,一期优化
系统参数,AI能力配置Tab,AI服务商配置,选择AI服务商,下拉选择,P0,一期必做
系统参数,AI能力配置Tab,AI模型配置,选择AI模型,下拉选择,P0,一期必做
系统参数,AI能力配置Tab,API端点配置,配置API Endpoint地址,文本输入,P0,一期必做
系统参数,AI能力配置Tab,AI启用开关,是否启用AI增强功能,开关选择,P0,一期必做
系统参数,AI能力配置Tab,本月用量展示,展示当前月AI使用量,只读展示,P1,一期优化
系统参数,AI能力配置Tab,保存AI配置,保存AI能力配置,保存后toast提示,P0,一期必做
系统参数,业务规则Tab,业务规则表格,展示业务规则列表,有效询盘入池/邮件创建线索/回收天数/合同归属,P0,一期必做
系统参数,业务规则Tab,编辑业务规则,支持编辑业务规则参数,行内编辑,P1,一期优化
系统参数,消息提醒Tab,提醒规则表格,展示消息提醒规则,分配提醒/待跟进提醒/签约提醒,P0,一期必做
系统参数,消息提醒Tab,编辑提醒规则,支持编辑提醒规则,行内编辑,P1,一期优化
系统参数,系统参数Tab,参数表格,展示系统级参数,超时时长/密码最短长度/复杂度要求,P0,一期必做
系统参数,系统参数Tab,编辑系统参数,支持编辑系统参数,行内编辑,P1,一期优化
个人中心,我的资料,用户信息展示,展示姓名/手机号/邮箱/角色,表单只读展示,P0,一期必做
个人中心,我的资料,用户信息编辑,支持编辑用户资料,编辑后保存更新,P1,一期优化
个人中心,我的资料,保存资料,保存个人资料修改,保存后toast提示,P1,一期优化
个人中心,账号绑定,邮箱绑定,展示已绑定邮箱和时间,只读展示绑定信息,P0,一期必做
个人中心,账号绑定,新增邮箱绑定,支持新增邮箱绑定,新增绑定操作,P2,二期
个人中心,账号绑定,删除邮箱绑定,支持解绑邮箱,二次确认；danger按钮,P2,二期
个人中心,账号绑定,WhatsApp绑定,展示已绑定WhatsApp号码,只读展示,P0,一期必做
个人中心,账号绑定,解绑WhatsApp,支持解绑WhatsApp,二次确认；danger按钮,P2,二期
个人中心,修改密码,新密码输入,输入新密码,密码至少8位；含字母和数字,P0,一期必做
个人中心,修改密码,确认新密码,再次输入确认新密码,两次密码一致方可提交,P0,一期必做
个人中心,修改密码,确认修改,点击完成密码修改,修改成功后退出登录；跳转登录页,P0,一期必做
个人中心,登录安全,当前设备信息,展示当前登录设备信息,浏览器/操作系统/IP/登录方式,P0,一期必做
个人中心,登录安全,退出当前登录,安全退出当前账号,danger按钮；确认后退出至登录页,P0,一期必做
全局导航,侧边栏,导航菜单,展示一级和二级导航菜单,7个一级菜单+子菜单；当前菜单高亮,P0,一期必做
全局导航,侧边栏,菜单展开/折叠,支持展开/收起二级菜单,点击切换展开状态；状态本地持久化,P0,一期必做
全局导航,顶部栏,全局搜索,支持全局快速搜索,搜索线索/客户/合同；placeholder文案,P0,一期必做
全局导航,顶部栏,角色切换,支持切换当前角色,dropdown选择；切换后刷新数据,P0,一期必做
全局导航,顶部栏,通知中心,支持查看系统通知,通知列表弹窗；分类型展示,P0,一期必做
全局导航,顶部栏,用户菜单,支持访问个人中心和退出,含我的资料/账号绑定/修改密码/退出登录,P0,一期必做
全局导航,多页签,Chrome标签页,支持多页面标签式切换,标签页导航；工作台固定不可关闭,P0,一期必做
全局导航,多页签,关闭标签,支持关闭当前/其他/全部标签页,关闭按钮+操作按钮,P0,一期必做
全局导航,多页签,标签固定,工作台标签固定不可关闭,保留至少一个标签页,P0,一期必做
全局导航,面包屑,当前位置导航,展示当前页面位置路径,面包屑导航提示当前位置,P0,一期必做
全局导航,权限控制,权限校验,无权限页面展示无权限提示页,访问无权限页面显示独立状态页,P0,一期必做
全局导航,权限控制,按钮权限,无操作权限的按钮隐藏,根据权限配置控制按钮显示,P0,一期必做
全局导航,加载状态,骨架屏加载,数据加载期间显示骨架屏,异步数据加载时的占位展示,P1,一期优化
全局导航,错误处理,系统异常页面,500错误展示系统异常页,含返回工作台按钮,P0,一期必做
全局导航,错误处理,网络异常页面,网络连接失败展示网络异常页,含重新加载按钮,P0,一期必做
全局导航,错误处理,404页面,无效路径展示页面不存在,含返回工作台按钮,P0,一期必做
状态页,无权限,无权限页,无权限访问时展示无权限提示,独立状态页；红色图标+提示文案,P0,一期必做
状态页,系统加载中,系统初始化加载,应用初始化时展示加载动画,加载完成后自动跳转,P0,一期必做
