序号,一级模块,二级模块,页面名称,功能编号,功能名称,功能描述,操作说明,业务规则,输入项,输出项,异常处理,权限要求,关联页面,备注
105,线索中心,线索详情,线索详情,F-105,线索详情指标卡,系统展示线索的核心指标信息：状态、负责人、最近跟进、下次跟进,在线索详情页顶部展示,1.跟进记录不可修改；2.下次跟进到期后进入待跟进,无,展示指标卡信息,无,有线索列表或公海池权限的用户,无,
106,线索中心,线索详情,线索详情,F-106,沟通记录Tab,系统展示线索关联的所有邮件和WhatsApp沟通记录,用户在线索详情页切换至"沟通记录"Tab,展示已关联的邮件和WhatsApp会话记录,无,展示沟通记录时间线,无,有线索列表或公海池权限的用户,无,
107,线索中心,线索详情,线索详情,F-107,跟进日志Tab（线索内）,系统展示当前线索的所有跟进记录,用户在线索详情页切换至"跟进日志"Tab,仅展示当前线索的跟进记录,无,展示跟进记录列表,无,有线索列表或公海池权限的用户,无,
108,线索中心,线索详情,线索详情,F-108,关联合同Tab,系统展示当前线索关联的所有合同列表,用户在线索详情页切换至"关联合同"Tab,仅展示关联到当前线索的合同,无,展示合同列表,无,有线索列表或公海池权限的用户,合同中心,
109,线索中心,线索详情,线索详情,F-109,AI智能分析区,系统展示AI对线索的智能分析结果，包含摘要、标签和意向产品,在线索详情页侧栏展示,显示AI标签和意向产品信息,无,展示AI分析信息,无,有线索列表或公海池权限的用户,无,
110,线索中心,线索详情,线索详情,F-110,线索基础信息区,系统展示线索的基础信息：企业名称、联系人、邮箱、电话、来源站点、创建时间,在线索详情页侧栏展示,无,无,展示基础信息,无,有线索列表或公海池权限的用户,无,
111,线索中心,线索详情,线索详情,F-111,关联对象信息区,系统展示线索的关联客户和关联消息数量,在线索详情页侧栏展示,关联客户支持点击跳转至客户详情页,无,展示关联对象信息,无,有线索列表或公海池权限的用户,客户详情,
112,客户中心,客户列表,客户列表,F-112,客户列表页面展示,系统以表格形式展示所有企业客户资产列表,用户从左侧菜单进入客户列表页面,展示客户编号、企业名称、国家/地区、行业、负责人、所属站点、标签、状态等字段,无,展示客户列表表格,无,有客户列表权限的用户,无,
113,客户中心,客户列表,客户列表,F-113,客户关键词搜索,系统支持按客户名称或编号搜索客户,用户输入关键词后点击查询,搜索范围为客户名称、客户编号,关键词,筛选匹配的客户列表,无,有客户列表权限的用户,无,
114,客户中心,客户列表,客户列表,F-114,客户国家/地区筛选,系统支持按国家/地区筛选客户,用户选择国家/地区后点击查询,国家选项：全部、Spain、United States、Canada等,国家/地区,筛选指定国家/地区的客户,无,有客户列表权限的用户,无,
115,客户中心,客户列表,客户列表,F-115,客户行业筛选,系统支持按行业筛选客户,用户选择行业后点击查询,行业选项：全部、家居零售、工业制造、礼品批发等,行业,筛选指定行业的客户,无,有客户列表权限的用户,无,
116,客户中心,客户列表,客户列表,F-116,客户负责人筛选,系统支持按负责人筛选客户,用户选择负责人后点击查询,负责人选项包括全部及所有业务员,负责人,筛选指定负责人的客户,无,有客户列表权限的用户,无,
117,客户中心,客户列表,客户列表,F-117,客户所属站点筛选,系统支持按所属站点筛选客户,用户选择站点后点击查询,站点选项包括全部及所有站点,站点,筛选指定站点的客户,无,有客户列表权限的用户,无,
118,客户中心,客户列表,客户列表,F-118,客户查询,系统根据筛选条件更新客户列表,用户点击"查询"按钮,无,无,刷新客户列表,无,有客户列表权限的用户,无,
119,客户中心,客户列表,客户列表,F-119,客户重置,系统恢复客户筛选条件至默认值并重新加载,用户点击"重置"按钮,无,无,重置筛选条件并刷新客户列表,无,有客户列表权限的用户,无,
120,客户中心,客户列表,客户列表,F-120,新建客户,系统支持用户创建新的客户记录,用户点击"新建客户"按钮，在弹出的新建窗口中填写客户信息后保存,1.客户名称和所属站点为必填；2.新建表单包含：客户名称、所属站点、国家/地区、行业、联系人姓名、联系人职位、联系人邮箱、联系人电话,客户名称（必填）、所属站点（必填）、国家/地区、行业、联系人信息,系统提示"客户创建成功"并刷新列表,无,新建客户权限（create-customer）,无,
121,客户中心,客户列表,客户列表,F-121,客户转交,系统支持将选中的一位或多位客户转交给其他负责人,用户选中客户后点击"客户转交"按钮，在弹出的转交窗口中选择新负责人并填写备注后确认,1.转交后未结束的线索同步转交给新人；2.历史线索不做变更；3.转交备注为必填,新负责人（必填）、转交备注（必填）,系统提示"客户已成功转交",无,转交权限（transfer）,无,
122,客户中心,客户列表,客户列表,F-122,客户刷新,系统重新加载客户列表数据,用户点击"刷新"按钮,无,无,刷新客户列表数据,无,有客户列表权限的用户,无,
123,客户中心,客户列表,客户列表,F-123,客户导出,系统创建客户导出任务（预留功能）,用户点击"导出客户"按钮,本期导出为预留功能,无,系统提示"已创建客户导出任务",无,导出权限（export）,无,
124,客户中心,客户列表,客户列表,F-124,客户多选,系统支持在客户列表中选择一个或多个客户,用户勾选客户前的复选框选择操作对象,选中项在工具栏显示"已选N项"提示,无,选中客户用于批量转交等操作,无,有客户列表权限的用户,无,
125,客户中心,客户列表,客户列表,F-125,客户名称查看详情,系统跳转至客户详情页,用户点击客户行中的"详情"按钮,无,无,跳转至客户详情页,无,有客户列表权限的用户,客户详情,
126,客户中心,客户列表,客户列表,F-126,客户线索记录查看,系统跳转至该客户关联的线索列表,用户点击"线索记录"按钮,筛选条件自动带入客户ID,无,跳转至线索列表（按客户过滤）,无,有客户列表权限的用户,线索列表,
127,客户中心,客户列表,客户列表,F-127,客户AI画像查看,系统弹窗展示客户AI智能画像,用户点击"AI画像"按钮,AI画像包含公司简介、主营业务、企业规模、目标市场、风险信息,无,弹窗展示AI客户画像,无,有客户列表权限的用户,无,
128,客户中心,客户列表,客户列表,F-128,客户更多操作-编辑联系人,系统支持编辑客户的联系人信息,用户在更多操作菜单中点击"编辑联系人",无,联系人编辑表单,系统提示"联系人信息已更新",无,编辑权限（edit）,无,
129,客户中心,客户详情,客户详情,F-129,客户详情页面展示,系统展示单个客户的完整信息，包含客户信息、线索记录、联系人、合作合同、AI客户画像,用户从客户列表点击客户名称或"详情"按钮进入,客户不存在时展示"客户不存在"提示及返回按钮,无,展示客户详情信息,客户不存在时提示"客户不存在"并引导返回,有客户列表权限的用户,客户列表,
130,客户中心,客户详情,客户详情,F-130,客户详情编辑联系人,系统支持在客户详情页编辑联系人信息,用户点击"编辑联系人"按钮,同客户列表编辑联系人规则,联系人编辑表单,系统提示"联系人信息已更新",无,编辑权限（edit）,无,
131,客户中心,客户详情,客户详情,F-131,客户详情新增合同,系统支持在客户详情页为该客户新增合同,用户点击"新增合同"按钮，弹出合同新增窗口,1.合同必须关联客户；2.关联线索为非必填；3.合同负责人归属规则：若合同关联线索则优先取线索负责人，否则取客户当前负责人，客户负责人为空则取合同录入人,合同信息表单（含合同编号、合同名称、金额、签约日期、状态等）,系统提示"合同录入成功",无,新增合同权限（create-contract）,合同中心,
132,客户中心,客户详情,客户详情,F-132,客户详情返回列表,系统从客户详情页返回客户列表,用户点击"返回列表"按钮,无,无,返回客户列表,无,有客户列表权限的用户,客户列表,
133,客户中心,客户详情,客户详情,F-133,客户详情指标卡,系统展示客户的关联线索数、合作合同数、累计金额和客户状态,在客户详情页顶部展示,1.金额口径为人民币；2.历史合同保留,无,展示指标卡信息,无,有客户列表权限的用户,无,
134,客户中心,客户详情,客户详情,F-134,客户信息Tab,系统展示客户的基础信息：公司名称、国家/地区、行业、官网、所属站点、创建时间、客户标签,用户在线索详情页切换至"客户信息"Tab,无,无,展示客户基础信息,无,有客户列表权限的用户,无,
135,客户中心,客户详情,客户详情,F-135,线索记录Tab（客户内）,系统展示该客户关联的所有线索列表,用户在线索详情页切换至"线索记录"Tab,仅展示关联到当前客户的线索,无,展示关联线索列表,无,有客户列表权限的用户,线索列表,
136,客户中心,客户详情,客户详情,F-136,联系人Tab,系统展示该客户的企业联系人列表,用户在线索详情页切换至"联系人"Tab,联系人为该客户企业下的联系人,无,展示联系人列表,无,有客户列表权限的用户,无,
137,客户中心,客户详情,客户详情,F-137,合作合同Tab,系统展示该客户的所有合作合同列表,用户在线索详情页切换至"合作合同"Tab,仅展示关联到当前客户的合同,无,展示合同列表,无,有客户列表权限的用户,合同中心,
138,客户中心,客户详情,客户详情,F-138,AI客户画像Tab,系统展示AI对该客户的智能画像分析,用户在线索详情页切换至"AI客户画像"Tab,AI画像包含：公司简介、主营业务、企业规模、目标市场、风险信息,无,展示AI客户画像信息,无,有客户列表权限的用户,无,
139,客户中心,客户详情,客户详情,F-139,联系人编辑,系统支持编辑客户下联系人的信息,用户在联系人列表行中点击"编辑"按钮,编辑联系人信息后保存,联系人编辑表单,系统提示"联系人信息已更新",无,编辑权限（edit）,无,
140,客户中心,客户详情,客户详情,F-140,联系人删除,系统支持删除客户下的联系人,用户点击"删除"按钮并确认,删除需二次确认，确认后执行删除操作,无,确认删除弹窗，确认后联系人被删除,无,编辑权限（edit）,无,
141,客户中心,合同中心,合同中心,F-141,合同中心页面展示,系统以表格形式展示所有销售合同列表,用户从左侧菜单进入合同中心页面,1.展示合同编号、合同名称、客户、金额、签约日期、合同状态、负责人等字段；2.金额口径统一为人民币,无,展示合同列表表格,无,有合同中心权限的用户,无,
142,客户中心,合同中心,合同中心,F-142,合同编号搜索,系统支持按合同编号搜索,用户输入合同编号后点击查询,无,合同编号,筛选匹配的合同,无,有合同中心权限的用户,无,
143,客户中心,合同中心,合同中心,F-143,合同客户名称搜索,系统支持按客户名称搜索合同,用户输入客户名称后点击查询,无,客户名称,筛选匹配的合同,无,有合同中心权限的用户,无,
144,客户中心,合同中心,合同中心,F-144,合同签约日期筛选,系统支持按签约日期范围筛选合同,用户选择时间范围后点击查询,无,时间范围,筛选指定签约日期的合同,无,有合同中心权限的用户,无,
145,客户中心,合同中心,合同中心,F-145,合同状态筛选,系统支持按合同状态筛选,用户选择状态后点击查询,状态选项：全部、已签约、执行中、已完成、已终止、已作废,状态,筛选指定状态的合同,无,有合同中心权限的用户,无,
146,客户中心,合同中心,合同中心,F-146,合同负责人筛选,系统支持按负责人筛选合同,用户选择负责人后点击查询,负责人选项包括全部及所有业务员,负责人,筛选指定负责人的合同,无,有合同中心权限的用户,无,
147,客户中心,合同中心,合同中心,F-147,合同查询,系统根据筛选条件更新合同列表,用户点击"查询"按钮,无,无,刷新合同列表,无,有合同中心权限的用户,无,
148,客户中心,合同中心,合同中心,F-148,合同重置,系统恢复合同筛选条件至默认值并重新加载,用户点击"重置"按钮,无,无,重置筛选条件并刷新合同列表,无,有合同中心权限的用户,无,
149,客户中心,合同中心,合同中心,F-149,新增合同（全局）,系统支持用户新增合同记录,用户点击"新增合同"按钮，填写合同信息后保存,1.合同必须关联客户；2.关联线索为非必填；3.合同负责人归属规则：若关联线索则优先取线索负责人，否则取客户当前负责人，客户负责人为空则取合同录入人,合同编号、合同名称、客户（必填）、关联线索、金额（必填）、签约日期（必填）、合同状态（必填）,系统提示"合同录入成功"并刷新列表,无,新增合同权限（create-contract）,客户详情,
150,客户中心,合同中心,合同中心,F-150,合同刷新,系统重新加载合同列表数据,用户点击"刷新"按钮,无,无,刷新合同列表数据,无,有合同中心权限的用户,无,
151,客户中心,合同中心,合同中心,F-151,合同导出,系统创建合同导出任务（预留功能）,用户点击"导出合同"按钮,本期导出为预留功能,无,系统提示"已创建合同导出任务",无,导出权限（export）,无,
152,客户中心,合同中心,合同中心,F-152,合同详情查看,系统跳转至合同详情页,用户点击"详情"按钮,无,无,跳转至合同详情页,无,有合同中心权限的用户,合同详情,
153,客户中心,合同中心,合同中心,F-153,合同编辑金额,系统支持编辑非终态合同的金额信息,用户点击"编辑金额"按钮,仅状态为非终态（已完成/已终止/已作废）的合同可编辑,金额字段,系统提示"合同信息已更新",无,编辑权限（edit）,无,
154,客户中心,合同中心,合同中心,F-154,合同编辑,系统支持编辑非终态合同的信息,用户点击"编辑"按钮,仅非终态合同可编辑,合同编辑表单,系统提示"合同信息已更新",无,编辑权限（edit）,无,
155,客户中心,合同中心,合同中心,F-155,合同状态变更,系统支持对非终态合同执行作废或终止操作,用户在更多操作中确认状态变更,1.仅非终态合同可操作；2.状态变更需二次确认；3.历史数据保留,无,确认弹窗，确认后执行状态变更,无,编辑权限（edit）,无,
156,客户中心,合同详情,合同详情,F-156,合同详情页面展示,系统展示单个合同的完整信息，包含合同基本信息、操作记录,用户从合同中心点击合同名称或"详情"按钮进入,1.终态合同（已完成/已终止/已作废）为只读状态；2.合同不存在时展示提示信息,无,展示合同详情信息,合同不存在时提示"合同不存在"并引导返回,有合同中心权限的用户,合同中心,
157,客户中心,合同详情,合同详情,F-157,合同详情编辑,系统支持在合同详情页编辑非终态合同,用户点击"编辑"按钮,仅非终态合同可编辑,合同编辑表单,系统提示"合同信息已更新",无,编辑权限（edit）,无,
158,客户中心,合同详情,合同详情,F-158,合同详情返回,系统从合同详情页返回合同中心,用户点击"返回合同中心"按钮,无,无,返回合同中心页面,无,有合同中心权限的用户,合同中心,
159,客户中心,合同详情,合同详情,F-159,合同详情指标卡,系统展示合同的金额、状态、负责人和签约日期,在合同详情页顶部展示,1.金额口径为人民币；2.终态合同仅可查看,无,展示指标卡信息,无,有合同中心权限的用户,无,
160,客户中心,合同详情,合同详情,F-160,合同基本信息区,系统展示合同的客户、关联线索、创建时间、合同名称等基本信息,在合同详情页展示,1.关联客户支持点击跳转至客户详情页；2.关联线索支持点击跳转至线索详情页,无,展示合同基本信息,无,有合同中心权限的用户,客户详情/线索详情,
161,客户中心,合同详情,合同详情,F-161,合同操作记录区,系统展示与合同相关的跟进记录,在合同详情页展示,展示关联线索的跟进记录,无,展示跟进记录列表,无,有合同中心权限的用户,无,
162,分析中心,销售经营,销售经营,F-162,销售经营页面展示,系统提供销售核心指标的经营分析看板，包含线索总量、成交金额、转化效率、销售漏斗及团队排行,用户从左侧菜单进入销售经营页面,无,无,展示销售经营分析看板,无,有销售经营权限的用户,无,
163,分析中心,销售经营,销售经营,F-163,销售经营时间筛选,系统支持按时间快捷选项筛选分析数据,用户选择时间快捷选项（今日/本周/本月/本季度/自定义）后点击查询,时间筛选作用于页面所有指标和图表,时间范围,刷新分析数据,无,有销售经营权限的用户,无,
164,分析中心,销售经营,销售经营,F-164,销售经营站点筛选,系统支持按站点筛选分析数据,用户选择站点后点击查询,站点筛选选项：全部及所有站点,站点,按站点过滤分析数据,无,有销售经营权限的用户,无,
165,分析中心,销售经营,销售经营,F-165,销售经营查询,系统根据筛选条件更新分析数据,用户点击"查询"按钮,无,无,刷新分析数据,无,有销售经营权限的用户,无,
166,分析中心,销售经营,销售经营,F-166,线索总数指标卡,展示系统线索总量及较上期变化,用户可在销售经营页面查看,包含总量、较上期增减及年度目标达成率,无,展示线索总数指标,无,有销售经营权限的用户,线索列表,支持点击跳转至线索列表
167,分析中心,销售经营,销售经营,F-167,新增线索指标卡（分析）,展示选定时间范围内新增线索数量及增长率,用户可在销售经营页面查看,包含新增数量和同比增长率,无,展示新增线索指标,无,有销售经营权限的用户,无,
168,分析中心,销售经营,销售经营,F-168,成交金额指标卡（分析）,展示累计成交金额及增长率,用户可在销售经营页面查看,金额口径为人民币,无,展示成交金额指标,无,有销售经营权限的用户,合同中心,支持点击跳转至合同中心
169,分析中心,销售经营,销售经营,F-169,线索转化率指标卡,展示线索转化率及对比行业平均水平,用户可在销售经营页面查看,计算公式为线索转客户的比例，展示行业平均作为参考,无,展示线索转化率指标,无,有销售经营权限的用户,无,
170,分析中心,销售经营,销售经营,F-170,销售漏斗分析图,展示从全部消息到转客户的完整漏斗转化路径,用户可在销售经营页面查看,漏斗阶段：全部消息→识别为线索→跟进中→高意向→转客户，展示各阶段绝对数量及相邻阶段转化率,无,展示销售漏斗分析图表,无,有销售经营权限的用户,无,
171,分析中心,销售经营,销售经营,F-171,线索增长与成交金额趋势图,展示年度线索增长与成交金额的组合趋势图表,用户可在销售经营页面查看,以月为维度展示线索数量和成交金额的双轴趋势,无,展示组合趋势图表,无,有销售经营权限的用户,无,
172,分析中心,销售经营,销售经营,F-172,销售排行榜（按成交额）,系统按成交额对业务员进行排名展示TOP10,用户切换至"按成交额"Tab查看,展示排名、业务员姓名及所属团队、线索数量、跟进数、转客户数、成交金额、目标达成率,无,展示成交额排行榜,无,有销售经营权限的用户,无,
173,分析中心,销售经营,销售经营,F-173,销售排行榜（按转客数）,系统按转客户数对业务员进行排名展示TOP10,用户切换至"按转客数"Tab查看,展示排名、业务员姓名及所属团队、线索数量、跟进数、转客户数、成交金额、目标达成率,无,展示转客数排行榜,无,有销售经营权限的用户,无,
174,分析中心,销售经营,销售经营,F-174,排行榜查看线索,系统从排行榜跳转至线索列表,用户点击排行榜行中的"查看线索"按钮,无,无,跳转至线索列表,无,有销售经营权限的用户,线索列表,
175,分析中心,获客分析,获客分析,F-175,获客分析页面展示,系统提供渠道效能与来源站点分析，帮助了解不同渠道和站点的获客能力与转化效率,用户从左侧菜单进入获客分析页面,无,无,展示获客分析看板,无,有获客分析权限的用户,无,
176,分析中心,获客分析,获客分析,F-176,获客分析时间筛选,系统支持按时间范围筛选获客数据,用户选择时间范围后点击查询,无,时间范围,刷新获客分析数据,无,有获客分析权限的用户,无,
177,分析中心,获客分析,获客分析,F-177,获客分析站点筛选,系统支持按站点筛选获客数据,用户选择站点后点击查询,无,站点,按站点过滤获客数据,无,有获客分析权限的用户,无,
178,分析中心,获客分析,获客分析,F-178,获客分析查询,系统根据筛选条件更新获客分析数据,用户点击"查询"按钮,无,无,刷新获客分析数据,无,有获客分析权限的用户,无,
179,分析中心,获客分析,获客分析,F-179,邮件效能分析,系统展示邮件渠道的效能指标：消息总量、AI识别数量、有效消息比例、增长,用户在获客分析页面查看邮件效能卡片,有效消息：经系统规则识别或AI识别，满足有效条件并生成线索的消息,无,展示邮件效能指标,无,有获客分析权限的用户,无,
180,分析中心,获客分析,获客分析,F-180,WhatsApp效能分析,系统展示WhatsApp渠道的效能指标：消息总量、AI识别数量、有效消息比例、增长,用户在获客分析页面查看WhatsApp效能卡片,有效消息：经系统规则识别或AI识别，满足有效条件并生成线索的消息,无,展示WhatsApp效能指标,无,有获客分析权限的用户,无,
181,分析中心,获客分析,获客分析,F-181,来源站点价值分析表,系统以表格展示各来源站点的消息数量、线索数量、转化率和成交金额,用户在获客分析页面查看来源站点价值分析表,站点数据按站点维度统计,无,展示站点价值分析表格,无,有获客分析权限的用户,站点详情,支持查看站点按钮
182,分析中心,客户经营,客户经营,F-182,客户经营页面展示,系统提供客户经营分析看板，包含客户总量、新增客户、成交客户、客户增长率及行业/国家分布,用户从左侧菜单进入客户经营页面,无,无,展示客户经营分析看板,无,有客户经营权限的用户,无,
183,分析中心,客户经营,客户经营,F-183,客户经营时间筛选,系统支持按时间范围筛选客户经营数据,用户选择时间范围后点击查询,无,时间范围,刷新客户经营数据,无,有客户经营权限的用户,无,
184,分析中心,客户经营,客户经营,F-184,客户经营站点筛选,系统支持按站点筛选客户经营数据,用户选择站点后点击查询,无,站点,按站点过滤客户经营数据,无,有客户经营权限的用户,无,
185,分析中心,客户经营,客户经营,F-185,客户经营查询,系统根据筛选条件更新客户经营数据,用户点击"查询"按钮,无,无,刷新客户经营分析数据,无,有客户经营权限的用户,无,
186,分析中心,客户经营,客户经营,F-186,客户总数指标卡,展示系统客户总量及较上一统计周期增长率,用户可在客户经营页面查看,包含客户总数和增长率,无,展示客户总数指标,无,有客户经营权限的用户,客户列表,支持点击跳转至客户列表
187,分析中心,客户经营,客户经营,F-187,新增客户指标卡,展示本月新增客户数量及增长率,用户可在客户经营页面查看,包含新增客户数和增长率,无,展示新增客户指标,无,有客户经营权限的用户,无,
188,分析中心,客户经营,客户经营,F-188,成交客户指标卡,展示已成交客户数量及增长率,用户可在客户经营页面查看,成交客户指有合同的客户,无,展示成交客户指标,无,有客户经营权限的用户,无,
189,分析中心,客户经营,客户经营,F-189,客户增长率指标卡,展示客户增长率百分比,用户可在客户经营页面查看,包含客户增长率和状态描述,无,展示客户增长率指标,无,有客户经营权限的用户,无,
190,分析中心,客户经营,客户经营,F-190,客户行业分布图,系统通过图表展示客户在各行业的分布占比,用户在客户经营页面查看客户行业分布,以饼图或条形图形式展示行业占比,无,展示客户行业分布图表,无,有客户经营权限的用户,无,
191,分析中心,客户经营,客户经营,F-191,客户国家/地区分布图,系统通过条形图展示客户在各国家/地区的分布数量,用户在客户经营页面查看客户国家分布,展示各国家/地区的客户数量排序,无,展示客户国家分布图表,无,有客户经营权限的用户,无,
192,分析中心,客户经营,客户经营,F-192,年度转化趋势图,系统展示本年度各月线索至客户的转化率变化趋势,用户在客户经营页面查看转化趋势,转化率=当月线索转客户数/当月有效线索数×100%,无,展示年度转化趋势图表,无,有客户经营权限的用户,无,
193,站点中心,站点管理,站点管理,F-193,站点管理页面展示,系统以表格形式展示所有销售站点的列表,用户从左侧菜单进入站点管理页面,站点是企业面向客户提供产品或服务的独立销售入口，每个站点拥有独立的联系方式、业务流程、公海规则、AI规则和系统规则,无,展示站点列表,无,有站点管理权限的用户,无,
194,站点中心,站点管理,站点管理,F-194,站点关键词搜索,系统支持按站点名称或编码搜索,用户输入关键词后点击查询,搜索范围为站点名称或编码,关键词,筛选匹配的站点,无,有站点管理权限的用户,无,
195,站点中心,站点管理,站点管理,F-195,站点查询,系统根据搜索条件更新站点列表,用户点击"查询"按钮,无,无,刷新站点列表,无,有站点管理权限的用户,无,
196,站点中心,站点管理,站点管理,F-196,站点新增,系统支持新增销售站点,用户点击"新增站点"按钮，在弹出的新增窗口中填写站点信息后保存,站点不允许删除，仅支持创建后编辑或停用,站点名称（必填）、站点编码（必填）、域名（必填）、联系邮箱、WhatsApp,系统提示"站点创建成功"并刷新列表,无,有站点管理权限的用户,无,
197,站点中心,站点管理,站点管理,F-197,站点刷新,系统重新加载站点列表数据,用户点击"刷新"按钮,无,无,刷新站点列表数据,无,有站点管理权限的用户,无,
198,站点中心,站点管理,站点管理,F-198,站点编辑,系统支持编辑站点基本信息,用户点击"编辑"按钮，在弹出的编辑窗口中修改站点信息后保存,可编辑字段：站点名称、站点编码、域名、联系邮箱、WhatsApp,站点编辑表单,系统提示"站点信息已更新",无,有站点管理权限的用户,无,
199,站点中心,站点管理,站点管理,F-199,站点停用/启用,系统支持停用或启用站点,用户点击"停用"或"启用"按钮,1.停用后该站点将不再接收新消息，历史数据保留；2.停用操作需二次确认,无,站点状态变更，系统提示对应消息,停用后不再接收新消息，历史数据保留,有站点管理权限的用户,无,
200,站点中心,站点管理,站点管理,F-200,站点配置进入,系统跳转至站点配置页,用户点击"配置"按钮,无,无,跳转至站点配置页,无,有站点管理权限的用户,站点配置,
201,站点中心,站点详情,站点详情,F-201,站点详情页面展示,系统展示单个站点的详细信息，包含关联线索数、客户数、合同数和接口状态,用户从站点管理列表点击进入,站点不存在时展示提示信息,无,展示站点详情信息,站点不存在时提示"站点不存在"并引导返回,有站点管理权限的用户,站点管理,
202,站点中心,站点详情,站点详情,F-202,站点详情指标卡,系统展示站点下的线索总数、客户总数、合同总数和接口状态,在站点详情页顶部展示,1.客户归属单一站点，不跨站合并；2.合同口径为人民币,无,展示指标卡信息,无,有站点管理权限的用户,无,
203,站点中心,站点详情,站点详情,F-203,站点基础信息区,系统展示站点的基础配置信息,在站点详情页展示,包含站点名称、编码、域名、联系邮箱、WhatsApp、创建时间、配置摘要,无,展示站点基础信息,无,有站点管理权限的用户,无,
204,站点中心,站点详情,站点详情,F-204,站点详情进入配置,系统从站点详情页跳转至站点配置页,用户点击"进入配置"按钮,无,无,跳转至站点配置页,无,有站点管理权限的用户,站点配置,
205,站点中心,站点详情,站点详情,F-205,站点详情返回列表,系统从站点详情页返回站点管理列表,用户点击"返回列表"按钮,无,无,返回站点管理列表,无,有站点管理权限的用户,站点管理,
206,站点中心,站点配置,站点配置,F-206,站点配置页面展示,系统提供站点级配置管理，包含联系方式、业务流程、公海规则、AI规则和系统规则,用户从站点详情或站点管理列表进入,各配置分组独立保存,无,展示站点配置页面,无,有站点管理权限的用户,站点详情,
207,站点中心,站点配置,站点配置,F-207,联系方式配置Tab,系统支持编辑站点的联系邮箱和WhatsApp账号,用户切换至"联系方式"Tab，修改后点击"保存配置",联系方式独立保存,联系邮箱、WhatsApp,系统提示"配置已保存",无,有站点管理权限的用户,无,
208,站点中心,站点配置,站点配置,F-208,业务流程配置Tab,系统支持管理站点的跟进阶段，包含阶段名称、是否触发高意向和排序,用户切换至"业务流程"Tab，可新增阶段、编辑阶段、删除阶段,阶段被线索引用时删除需二次确认,阶段名称、触发高意向标记、排序,阶段配置保存,无,有站点管理权限的用户,无,
209,站点中心,站点配置,站点配置,F-209,业务流程-新增阶段,系统支持为站点新增跟进阶段,用户点击"新增阶段"按钮,新增阶段后可在线索跟进时选择,阶段名称（必填）、触发高意向标记,阶段新增成功,无,有站点管理权限的用户,无,
210,站点中心,站点配置,站点配置,F-210,业务流程-编辑阶段,系统支持编辑已有阶段的名称和高意向标记,用户点击"编辑"按钮,无,阶段编辑表单,系统提示"阶段已更新",无,有站点管理权限的用户,无,
211,站点中心,站点配置,站点配置,F-211,业务流程-删除阶段,系统支持删除已有阶段,用户点击"删除"按钮并确认,该阶段可能已被线索引用，删除需二次确认,无,确认删除弹窗，确认后阶段被删除,无,有站点管理权限的用户,无,
212,站点中心,站点配置,站点配置,F-212,公海规则配置Tab,系统支持配置站点的公海规则，包含自动回收开关和回收超时时长,用户切换至"公海规则"Tab，修改后点击"保存配置",公海规则独立保存,启用自动回收（开启/关闭）、回收超时时长,系统提示"配置已保存",无,有站点管理权限的用户,无,
213,站点中心,站点配置,站点配置,F-213,AI规则配置Tab,系统支持配置站点的AI识别规则启用状态,用户切换至"AI规则"Tab，修改后点击"保存配置",AI规则独立保存,启用AI识别（开启/关闭）,系统提示"配置已保存",无,有站点管理权限的用户,无,
214,站点中心,站点配置,站点配置,F-214,系统规则配置Tab,系统支持配置站点的关键词规则，包含规则名称、关键词、匹配逻辑、优先级和状态,用户切换至"系统规则"Tab，可新增规则、编辑规则、启用/停用规则,规则包含：规则名称、关键词、匹配逻辑、优先级、状态（启用/停用）,规则编辑字段,规则配置保存,无,有站点管理权限的用户,无,
215,站点中心,站点配置,站点配置,F-215,系统规则-新增规则,系统支持新增关键词识别规则,用户点击"新增规则"按钮,无,规则名称、关键词、匹配逻辑、优先级、状态,规则新增成功,无,有站点管理权限的用户,无,
216,站点中心,站点配置,站点配置,F-216,系统规则-编辑规则,系统支持编辑已有规则,用户点击"编辑"按钮,无,规则编辑表单,系统提示"规则已更新",无,有站点管理权限的用户,无,
217,站点中心,站点配置,站点配置,F-217,系统规则-启用/停用,系统支持启用或停用规则,用户点击"启用/停用"按钮,无,无,系统提示"规则状态已更新",无,有站点管理权限的用户,无,
218,站点中心,站点配置,站点配置,F-218,保存配置,系统保存当前Tab的配置项,用户在当前配置Tab中修改配置后点击"保存配置",各配置分组独立保存，仅保存当前Tab内容,取决于当前Tab的配置字段,系统提示"配置已保存",无,有站点管理权限的用户,无,
219,站点中心,站点配置,站点配置,F-219,站点配置返回详情,系统从站点配置页返回站点详情页,用户点击"返回详情"按钮,无,无,返回站点详情页,无,有站点管理权限的用户,站点详情,
220,系统管理,用户管理,用户管理,F-220,用户管理页面展示,系统以表格形式展示所有系统用户列表，支持管理系统用户、角色和站点授权,用户从左侧菜单进入用户管理页面,展示用户姓名、登录账号、手机号、邮箱、角色、所属站点、状态等字段,无,展示用户列表表格,无,系统管理员权限,无,
221,系统管理,用户管理,用户管理,F-221,用户关键词搜索,系统支持按用户姓名、账号、手机号、邮箱搜索,用户输入关键词后点击查询,搜索范围为用户姓名、登录账号、手机号、邮箱,关键词,筛选匹配的用户列表,无,系统管理员权限,无,
